id_6char,id_7char,municipio_sus,municipio,uf,populacao,clinicos,intensivistas,enfermeiros,anestesiologistas,ventiladores_existentes,ventiladores_em_uso,estab_c_vent_sus,quantidade_leitos,leitos_sus,leitos_nao_sus
150797,1507979, Terra Santa,Terra Santa,PA,18769,1,,11,,,,,21,21,
150800,1508001, Tomé-Açu,Tomé-Açu,PA,63447,8,,19,,4,3,2,171,150,21
150803,1508035, Tracuateua,Tracuateua,PA,30959,,,6,,1,1,1,15,15,
150805,1508050, Trairão,Trairão,PA,18989,2,,7,,,,,21,21,
150808,1508084, Tucumã,Tucumã,PA,39602,10,,14,,4,4,4,99,87,12
150810,1508100, Tucuruí,Tucuruí,PA,113659,28,,98,2,28,28,2,286,204,82
150812,1508126, Ulianópolis,Ulianópolis,PA,59210,8,,14,,3,3,1,89,88,1
150815,1508159, Uruará,Uruará,PA,45476,3,,6,,,,,61,58,3
150820,1508209, Vigia,Vigia,PA,53686,2,,16,,,,,35,35,
150830,1508308, Viseu,Viseu,PA,61403,4,,6,,,,,65,65,
150835,1508357, Vitória do Xingu,Vitória do Xingu,PA,15134,3,,23,1,3,2,1,31,31,
150840,1508407, Xinguara,Xinguara,PA,44751,12,,28,,3,2,1,133,82,51
160005,1600055, Serra do Navio,Serra do Navio,AP,5397,2,,4,,,,,30,30,
160010,1600105, Amapá,Amapá,AP,9109,2,,5,,,,,37,37,
160015,1600154, Pedra Branca do Amapari,Pedra Branca do Amapari,AP,16502,3,,11,,,,,15,15,
160020,1600204, Calçoene,Calçoene,AP,11117,2,,6,,,,,20,20,
160021,1600212,,Cutias,AP,5983,1,,7,,,,,,,
160023,1600238, Ferreira Gomes,Ferreira Gomes,AP,7780,3,,14,,,,,12,12,
160025,1600253,,Itaubal,AP,5503,,,4,,,,,,,
160027,1600279, Laranjal do Jari,Laranjal do Jari,AP,50410,12,,26,1,2,2,1,58,58,
160030,1600303, Macapá,Macapá,AP,503327,185,3,574,21,84,78,9,716,573,143
160040,1600402, Mazagão,Mazagão,AP,21632,2,,10,,,,,14,14,
160050,1600501, Oiapoque,Oiapoque,AP,27270,4,,12,1,,,,41,41,
160053,1600535, Porto Grande,Porto Grande,AP,21971,5,,14,,,,,34,34,
160055,1600550,,Pracuúba,AP,5120,,,1,,,,,,,
160060,1600600, Santana,Santana,AP,121364,13,,76,,8,8,1,95,93,2
160070,1600709, Tartarugalzinho,Tartarugalzinho,AP,17315,2,,10,,,,,18,18,
160080,1600808, Vitória do Jari,Vitória do Jari,AP,15931,1,,5,,,,,8,8,
170025,1700251,,Abreulândia,TO,2579,,,2,,,,,,,
170030,1700301,,Aguiarnópolis,TO,6733,,,1,,,,,,,
170035,1700350,,Aliança do Tocantins,TO,5390,1,,1,,,,,,,
170040,1700400,,Almas,TO,7055,2,,2,,,,,,,
170070,1700707, Alvorada,Alvorada,TO,8412,12,,10,1,1,1,1,23,23,
170100,1701002, Ananás,Ananás,TO,9549,2,,6,,,,,14,14,
170105,1701051,,Angico,TO,3433,,,,,,,,,,
170110,1701101,,Aparecida do Rio Negro,TO,4795,1,,,,,,,,,
170130,1701309,,Aragominas,TO,5758,,,5,,,,,,,
170190,1701903, Araguacema,Araguacema,TO,7086,3,,2,,1,1,1,17,17,
170200,1702000, Araguaçu,Araguaçu,TO,8517,5,,11,1,,,,27,27,
170210,1702109, Araguaína,Araguaína,TO,180470,159,,456,11,79,78,9,589,457,132
170215,1702158,,Araguanã,TO,5729,,,5,,,,,,,
170220,1702208, Araguatins,Araguatins,TO,35761,4,,15,,,,,25,25,
170230,1702307, Arapoema,Arapoema,TO,6643,9,,15,,,,,28,28,
170240,1702406, Arraias,Arraias,TO,10567,6,,18,1,,,,33,33,
170255,1702554, Augustinópolis,Augustinópolis,TO,18412,20,1,61,,4,4,1,93,93,
170270,1702703,,Aurora do Tocantins,TO,3757,,,3,,,,,,,
170290,1702901,,Axixá do Tocantins,TO,9756,,,1,,,,,,,
170300,1703008,,Babaçulândia,TO,10664,2,,7,,,,,,,
170305,1703057,,Bandeirantes do Tocantins,TO,3553,1,,8,,,,,,,
170307,1703073,,Barra do Ouro,TO,4591,,,1,,,,,,,
170310,1703107,,Barrolândia,TO,5632,3,,4,,,,,,,
170320,1703206,,Bernardo Sayão,TO,4459,1,,2,,,,,,,
170330,1703305,,Bom Jesus do Tocantins,TO,4894,,,,,,,,,,
170360,1703602,,Brasilândia do Tocantins,TO,2201,,,3,,,,,,,
170370,1703701, Brejinho de Nazaré,Brejinho de Nazaré,TO,5497,,,5,,,,,5,5,
170380,1703800,,Buriti do Tocantins,TO,11348,2,,6,,,,,,,
170382,1703826,,Cachoeirinha,TO,2275,,,3,,,,,,,
170384,1703842,,Campos Lindos,TO,10116,,,1,,,,,,,
170386,1703867,,Cariri do Tocantins,TO,4382,1,,6,,,,,,,
170388,1703883,,Carmolândia,TO,2580,,,,,,,,,,
170389,1703891,,Carrasco Bonito,TO,4095,,,1,,,,,,,
170390,1703909,,Caseara,TO,5369,1,,1,,,,,,,
170410,1704105,,Centenário,TO,2905,,,1,,,,,,,
170460,1704600,,Chapada de Areia,TO,1406,,,,,,,,,,
170510,1705102,,Chapada da Natividade,TO,3333,,,1,,,,,,,
