city,city_ibge_code,confirmed,confirmed_per_100k_inhabitants,date,death_rate,deaths,estimated_population_2019,is_last,place_type,state,last_update
São Luís,2111300,8,0.72603,2020-03-23,,0.0,1101884.0,False,city,MA,2020-03-26 15:52:13.650364
,14,8,1.32065,2020-03-25,,0.0,605761.0,True,state,RR,2020-03-26 15:52:13.650364
Porto Seguro,2925303,8,5.38047,2020-03-23,,0.0,148686.0,False,city,BA,2020-03-26 15:52:13.650364
,22,8,0.24441,2020-03-25,,0.0,3273227.0,True,state,PI,2020-03-26 15:52:13.650364
Juiz de Fora,3136702,8,1.40629,2020-03-25,,0.0,568873.0,True,city,MG,2020-03-26 15:52:13.650364
Feira de Santana,2910800,8,1.30108,2020-03-25,,0.0,614872.0,True,city,BA,2020-03-26 15:52:13.650364
,21,8,0.11307,2020-03-23,,0.0,7075181.0,False,state,MA,2020-03-26 15:52:13.650364
Juiz de Fora,3136702,8,1.40629,2020-03-23,,0.0,568873.0,False,city,MG,2020-03-26 15:52:13.650364
Importados/Indefinidos,,8,,2020-03-25,,0.0,,True,city,SC,2020-03-26 15:52:13.650364
Porto Seguro,2925303,8,5.38047,2020-03-25,,0.0,148686.0,True,city,BA,2020-03-26 15:52:13.650364
Blumenau,4202404,7,1.95969,2020-03-23,,,357199.0,False,city,SC,2020-03-26 15:52:13.650364
Criciúma,4204608,7,3.253,2020-03-22,,,215186.0,False,city,SC,2020-03-26 15:52:13.650364
Bagé,4301602,7,5.7783,2020-03-24,,,121143.0,False,city,RS,2020-03-26 15:52:13.650364
,51,7,0.20089,2020-03-24,,,3484466.0,False,state,MT,2020-03-26 15:52:13.650364
Uberlândia,3170206,7,1.01258,2020-03-25,,0.0,691305.0,True,city,MG,2020-03-26 15:52:13.650364
Vila Velha,3205200,7,1.41747,2020-03-20,,,493838.0,False,city,ES,2020-03-26 15:52:13.650364
,12,7,0.79371,2020-03-20,,0.0,881935.0,False,state,AC,2020-03-26 15:52:13.650364
Rio Branco,1200401,7,1.71855,2020-03-20,,0.0,407319.0,False,city,AC,2020-03-26 15:52:13.650364
,15,7,0.08137,2020-03-25,,0.0,8602865.0,True,state,PA,2020-03-26 15:52:13.650364
,17,7,0.44505,2020-03-25,,,1572866.0,True,state,TO,2020-03-26 15:52:13.650364
Bagé,4301602,7,5.7783,2020-03-25,,,121143.0,True,city,RS,2020-03-26 15:52:13.650364
Nova Lima,3144805,7,7.37704,2020-03-23,,0.0,94889.0,False,city,MG,2020-03-26 15:52:13.650364
Palmas,1721000,7,2.34014,2020-03-25,,,299127.0,True,city,TO,2020-03-26 15:52:13.650364
Braço do Norte,4202800,7,20.92676,2020-03-22,,,33450.0,False,city,SC,2020-03-26 15:52:13.650364
Manaus,1302603,7,0.32069,2020-03-20,,,2182763.0,False,city,AM,2020-03-26 15:52:13.650364
Boa Vista,1400100,7,1.75345,2020-03-25,,0.0,399213.0,True,city,RR,2020-03-26 15:52:13.650364
,13,7,0.16889,2020-03-20,,,4144597.0,False,state,AM,2020-03-26 15:52:13.650364
Bagé,4301602,7,5.7783,2020-03-23,,,121143.0,False,city,RS,2020-03-26 15:52:13.650364
Blumenau,4202404,7,1.95969,2020-03-24,,,357199.0,False,city,SC,2020-03-26 15:52:13.650364
Boa Vista,1400100,7,1.75345,2020-03-24,,0.0,399213.0,False,city,RR,2020-03-26 15:52:13.650364
Itajaí,4208203,7,3.18854,2020-03-22,,,219536.0,False,city,SC,2020-03-26 15:52:13.650364
Nova Lima,3144805,7,7.37704,2020-03-25,,0.0,94889.0,True,city,MG,2020-03-26 15:52:13.650364
Maceió,2704302,7,0.68698,2020-03-22,,0.0,1018948.0,False,city,AL,2020-03-26 15:52:13.650364
Uberlândia,3170206,7,1.01258,2020-03-24,,0.0,691305.0,False,city,MG,2020-03-26 15:52:13.650364
Maceió,2704302,7,0.68698,2020-03-21,,0.0,1018948.0,False,city,AL,2020-03-26 15:52:13.650364
,27,7,0.20975,2020-03-21,,0.0,3337357.0,False,state,AL,2020-03-26 15:52:13.650364
