,region_id,municipio,uf,populacao,quantidade_leitos
3227,PARATY RJ,Paraty,RJ,43165,37.0
3228,PATY DO ALFERES RJ,Paty do Alferes,RJ,27769,0.0
3229,PETROPOLIS RJ,Petrópolis,RJ,306191,1651.0
3230,PINHEIRAL RJ,Pinheiral,RJ,25156,31.0
3231,PIRAI RJ,Piraí,RJ,29277,57.0
3232,PORCIUNCULA RJ,Porciúncula,RJ,18847,1.0
3233,PORTO REAL RJ,Porto Real,RJ,19683,45.0
3234,QUATIS RJ,Quatis,RJ,14302,33.0
3235,QUEIMADOS RJ,Queimados,RJ,150319,67.0
3236,QUISSAMA RJ,Quissamã,RJ,24700,74.0
3237,RESENDE RJ,Resende,RJ,131341,362.0
3238,RIO BONITO RJ,Rio Bonito,RJ,60201,112.0
3239,RIO CLARO RJ,Rio Claro,RJ,18529,41.0
3240,RIO DAS FLORES RJ,Rio das Flores,RJ,9284,21.0
3241,RIO DAS OSTRAS RJ,Rio das Ostras,RJ,150674,102.0
3242,RIO DE JANEIRO RJ,Rio de Janeiro,RJ,6718903,13933.0
3243,SANTA MARIA MADALENA RJ,Santa Maria Madalena,RJ,10404,23.0
3244,SANTO ANTONIO DE PADUA RJ,Santo Antônio de Pádua,RJ,42479,171.0
3245,SAO FRANCISCO DE ITABAPOANA RJ,São Francisco de Itabapoana,RJ,42205,30.0
3246,SAO FIDELIS RJ,São Fidélis,RJ,38669,111.0
3247,SAO GONCALO RJ,São Gonçalo,RJ,1084839,1389.0
